#Re    Pe    B    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    uh_rms    uh_rms_err    
# Index 000
1.0000e+03    1.0000e+02    1.0000e+02    9.0000e+01    1.1000e+02    2.4372e+00    5.1426e-02    1.1655e+00    6.8138e-02    2.6531e-01    2.9181e-02    6.8595e+00    7.2826e-01    4.6348e-02    2.3262e-03    2.1654e-01    2.8897e-02    3.8851e+02    4.0038e+01    2.1762e-01    2.8472e-02    1.2724e-01    1.8163e-02    8.4302e-02    9.2343e-03    5.1018e-02    2.0102e-03    4.3643e-02    2.6613e-04    2.7025e+00    4.6014e-02    
# Re = 1000.00, Pe = 100.00, B = 300.00
1.0000e+03    1.0000e+02    3.0000e+02    1.0900e+02    1.2000e+02    2.8083e+00    4.1615e-02    1.0438e+00    7.0531e-02    1.5776e-01    2.8376e-02    3.6567e+00    5.2440e-01    2.3016e-02    1.4059e-03    5.5953e-02    1.1079e-02    4.6501e+02    3.6363e+01    3.5155e-02    8.7983e-03    1.4535e-01    2.0107e-02    5.2306e-02    7.9953e-03    3.4671e-02    3.0593e-03    2.3767e-02    8.5106e-04    2.9969e+00    4.2788e-02    



# Index 005
# Re = 600.00, Pe = 600.00, B = 100.00
6.0000e+02    6.0000e+02    1.0000e+02    1.0000e+02    1.2500e+02    1.5320e+00    4.1941e-02    1.3872e+00    9.9927e-02    3.0797e-01    2.8658e-02    4.2392e+00    3.1286e-01    9.9524e-02    3.1616e-03    7.3722e-01    7.5632e-02    2.3582e+02    1.6902e+01    1.6143e-01    1.4687e-02    1.9937e-01    1.6830e-02    1.3702e-01    1.2348e-02    1.0228e-01    4.7908e-03    9.9003e-02    2.9344e-03    2.0687e+00    6.0209e-02    



# Index 006
# Re = 600.00, Pe =  60.00, B =   1.00
6.0000e+02    6.0000e+01    1.0000e+00    4.5000e+01    1.2500e+02    1.4231e+00    1.7114e-01    1.4218e+00    1.3658e-01    6.4128e-01    7.3614e-02    8.0412e+00    1.1688e+00    3.5600e-01    2.9278e-02    5.9690e+00    1.1195e+00    2.1041e+02    6.1015e+01    7.5593e-01    2.4124e-02    3.3051e-01    3.9357e-02    2.8535e-01    3.2436e-02    3.5754e-01    3.3206e-02    3.6220e-01    3.2793e-02    2.0164e+00    1.6908e-01    
# Re = 600.00, Pe =  60.00, B =   3.00
6.0000e+02    6.0000e+01    3.0000e+00    5.5000e+01    1.1000e+02    1.3112e+00    1.3809e-01    1.3327e+00    1.5083e-01    6.0123e-01    6.4389e-02    7.0325e+00    1.0262e+00    2.9780e-01    1.9304e-02    3.5877e+00    6.2369e-01    1.6704e+02    4.8577e+01    6.7684e-01    2.6690e-02    3.3480e-01    3.5544e-02    2.9055e-01    2.7980e-02    2.9730e-01    1.8990e-02    3.0059e-01    1.9227e-02    1.8724e+00    1.7667e-01    
# Re = 600.00, Pe =  60.00, B =  30.00
6.0000e+02    6.0000e+01    3.0000e+01    3.5000e+01    8.0000e+01    1.3223e+00    8.9906e-02    1.0996e+00    7.1727e-02    3.5215e-01    3.7347e-02    3.9650e+00    4.6754e-01    9.7398e-02    7.5612e-03    3.9245e-01    6.7509e-02    1.0776e+02    1.5689e+01    3.0018e-01    3.8404e-02    2.3265e-01    2.5367e-02    1.9048e-01    1.9029e-02    1.0192e-01    7.4206e-03    9.5697e-02    6.7260e-03    1.7219e+00    7.4839e-02    
# Re = 600.00, Pe =  60.00, B = 100.00
6.0000e+02    6.0000e+01    1.0000e+02    4.5000e+01    1.6000e+02    1.3369e+00    5.3251e-02    1.7563e+00    4.8565e-02    1.8807e-01    2.2397e-02    2.3657e+00    2.6865e-01    3.8207e-02    3.2400e-03    8.0699e-02    1.5964e-02    1.4362e+02    1.6439e+01    4.3263e-02    1.6259e-02    1.3392e-01    1.9384e-02    8.3093e-02    8.9937e-03    4.5267e-02    4.4237e-03    3.8006e-02    3.3278e-03    2.2076e+00    5.9875e-02    
# Re = 600.00, Pe =  60.00, B = 180.00
6.0000e+02    6.0000e+01    1.8000e+02    4.0000e+01    9.0000e+01    1.2474e+00    9.5696e-02    1.3692e+00    1.3094e-01    1.3562e-01    3.4359e-02    2.3325e+00    4.0862e-01    2.7657e-02    3.8078e-03    5.2080e-02    1.5768e-02    1.8735e+02    4.7185e+01    3.2872e-02    1.7495e-02    1.3261e-01    5.0356e-02    7.1629e-02    1.6640e-02    3.5141e-02    7.3704e-03    2.7518e-02    3.8277e-03    1.8532e+00    1.5152e-01    
# Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    6.0000e+01    3.0000e+02    4.0000e+01    8.0000e+01    1.2468e+00    9.5507e-02    1.3668e+00    1.0740e-01    8.1671e-02    1.3725e-02    2.0716e+00    1.7378e-01    1.9140e-02    1.7967e-03    2.7238e-02    5.0888e-03    1.8965e+02    4.1868e+01    1.2391e-02    5.7966e-03    6.9228e-02    3.0634e-02    4.3013e-02    6.1913e-03    2.3725e-02    3.5801e-03    1.9211e-02    1.7528e-03    1.8504e+00    1.3895e-01    



# Index 007
# Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+02    1.0000e+01    7.0000e+01    1.1000e+02    1.1656e+00    1.1080e-01    1.0870e+00    1.0322e-01    4.6119e-01    4.0854e-02    6.8678e+00    7.6371e-01    1.7700e-01    1.6570e-02    1.6865e+00    2.6131e-01    1.8080e+02    3.4095e+01    5.9741e-01    2.0498e-02    2.9014e-01    3.1518e-02    2.5249e-01    2.5086e-02    1.7383e-01    2.0551e-02    1.7066e-01    2.0778e-02    1.5972e+00    1.0999e-01    
# Re = 1000.00, Pe = 100.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e+02    4.0000e+01    7.0000e+01    1.7249e+00    4.1444e-02    1.1912e+00    7.6988e-02    2.4608e-01    2.6920e-02    3.9647e+00    7.5443e-01    4.6784e-02    4.2501e-03    1.7654e-01    3.6647e-02    2.2294e+02    3.4808e+01    1.1905e-01    1.2256e-02    1.7376e-01    9.0749e-03    1.1269e-01    5.5933e-03    5.3001e-02    1.6592e-03    4.5608e-02    1.8399e-03    2.0967e+00    7.4387e-02    



# Index 008
# Re = 300.00, Pe =  30.00, B =  10.00
3.0000e+02    3.0000e+01    1.0000e+01    5.0000e+01    2.5000e+02    1.1815e+00    8.8221e-02    1.1616e+00    1.0222e-01    4.5380e-01    4.6577e-02    3.7265e+00    4.3383e-01    1.7561e-01    1.4488e-02    6.7126e-01    1.2658e-01    6.1103e+01    1.2101e+01    4.2800e-01    3.5695e-02    2.9796e-01    3.2262e-02    2.5323e-01    2.5517e-02    1.7991e-01    1.4822e-02    1.7387e-01    1.4899e-02    1.6584e+00    1.1499e-01    



